ugc,type,name,state
AKZ101,public,Anchorage,AK
AKZ111,public,Matanuska Valley,AK
AKZ121,public,Western Kenai Peninsula,AK
AKZ125,public,Western Prince William Sound,AK
AKZ131,public,Northeast Prince William Sound,AK
AKZ135,public,Southeast Prince William Sound,AK
AKZ141,public,Copper River Basin,AK
AKZ145,public,Susitna Valley,AK
AKZ152,public,Lower Kuskokwim Valley,AK
AKZ155,public,Kuskokwim Delta,AK
AKZ161,public,Bristol Bay,AK
AKZ171,public,Kodiak Island,AK
AKZ181,public,Alaska Peninsula,AK
AKZ185,public,Eastern Aleutians,AK
AKZ187,public,Central Aleutians,AK
AKZ191,public,Western Aleutians,AK
AKZ195,public,Pribilof Islands,AK
AKZ201,public,Western Arctic Coast,AK
AKZ202,public,Northern Arctic Coast,AK
AKZ203,public,Central Beaufort Sea Coast,AK
AKZ204,public,Eastern Beaufort Sea Coast,AK
AKZ205,public,Northwestern Brooks Range,AK
AKZ206,public,Northeastern Brooks Range,AK
AKZ207,public,Chukchi Sea Coast,AK
AKZ208,public,Lower Kobuk and Noatak Valleys,AK
AKZ209,public,Baldwin Peninsula and Selawik Valley,AK
AKZ210,public,Northern and Interior Seward Peninsula,AK
AKZ211,public,Southern Seward Peninsula Coast,AK
AKZ212,public,Eastern Norton Sound and Nulato Hills,AK
AKZ213,public,St Lawrence Island and Bering Strait Coast,AK
AKZ214,public,Yukon Delta,AK
AKZ215,public,Lower Yukon Valley,AK
AKZ216,public,Lower Koyukuk and Middle Yukon Valleys,AK
AKZ217,public,Upper Kobuk and Noatak Valleys,AK
AKZ218,public,Southeastern Brooks Range,AK
AKZ219,public,Upper Koyukuk Valley,AK
AKZ220,public,Yukon Flats and Surrounding Uplands,AK
AKZ221,public,Central Interior,AK
AKZ222,public,Middle Tanana Valley,AK
AKZ223,public,Deltana and Tanana Flats,AK
AKZ224,public,Upper Tanana Valley and the Fortymile Country,AK
AKZ225,public,Denali,AK
AKZ226,public,Eastern Alaska Range,AK
AKZ227,public,Upper Kuskokwim Valley,AK
AKZ317,public,City and Borough of Yakutat,AK
AKZ318,public,Municipality of Skagway,AK
AKZ319,public,Haines Borough and Klukwan,AK
AKZ320,public,Glacier Bay,AK
AKZ321,public,Eastern Chichagof Island,AK
AKZ322,public,Cape Fairweather to Lisianski Strait,AK
AKZ323,public,City and Borough of Sitka,AK
AKZ324,public,Admiralty Island,AK
AKZ325,public,City and Borough of Juneau,AK
AKZ326,public,Petersburg Borough,AK
AKZ327,public,Western Kupreanof and Kuiu Island,AK
AKZ328,public,Prince of Wales Island,AK
AKZ329,public,City and Borough of Wrangell,AK
AKZ330,public,Ketchikan Gateway Borough,AK
AKZ331,public,City of Hyder,AK
AKZ332,public,Annette Island,AK
ALZ001,public,Lauderdale,AL
ALZ002,public,Colbert,AL
ALZ003,public,Franklin,AL
ALZ004,public,Lawrence,AL
ALZ005,public,Limestone,AL
ALZ006,public,Madison,AL
ALZ007,public,Morgan,AL
ALZ008,public,Marshall,AL
ALZ009,public,Jackson,AL
ALZ010,public,DeKalb,AL
ALZ011,public,Marion,AL
ALZ012,public,Lamar,AL
ALZ013,public,Fayette,AL
ALZ014,public,Winston,AL
ALZ015,public,Walker,AL
ALZ016,public,Cullman,AL
ALZ017,public,Blount,AL
ALZ018,public,Etowah,AL
ALZ019,public,Calhoun,AL
ALZ020,public,Cherokee,AL
ALZ021,public,Cleburne,AL
ALZ022,public,Pickens,AL
ALZ023,public,Tuscaloosa,AL
ALZ024,public,Jefferson,AL
ALZ025,public,Shelby,AL
ALZ026,public,St. Clair,AL
ALZ027,public,Talladega,AL
ALZ028,public,Clay,AL
ALZ029,public,Randolph,AL
ALZ030,public,Sumter,AL
ALZ031,public,Greene,AL
ALZ032,public,Hale,AL
ALZ033,public,Perry,AL
ALZ034,public,Bibb,AL
ALZ035,public,Chilton,AL
ALZ036,public,Coosa,AL
ALZ037,public,Tallapoosa,AL
ALZ038,public,Chambers,AL
ALZ039,public,Marengo,AL
ALZ040,public,Dallas,AL
ALZ041,public,Autauga,AL
ALZ042,public,Lowndes,AL
ALZ043,public,Elmore,AL
ALZ044,public,Montgomery,AL
ALZ045,public,Macon,AL
ALZ046,public,Bullock,AL
ALZ047,public,Lee,AL
ALZ048,public,Russell,AL
ALZ049,public,Pike,AL
ALZ050,public,Barbour,AL
ALZ051,public,Choctaw,AL
ALZ052,public,Washington,AL
ALZ053,public,Clarke,AL
ALZ054,public,Wilcox,AL
ALZ055,public,Monroe,AL
ALZ056,public,Conecuh,AL
ALZ057,public,Butler,AL
ALZ058,public,Crenshaw,AL
ALZ059,public,Escambia,AL
ALZ060,public,Covington,AL
ALZ065,public,Coffee,AL
ALZ066,public,Dale,AL
ALZ067,public,Henry,AL
ALZ068,public,Geneva,AL
ALZ069,public,Houston,AL
ALZ261,public,Mobile Inland,AL
ALZ262,public,Baldwin Inland,AL
ALZ263,public,Mobile Central,AL
ALZ264,public,Baldwin Central,AL
ALZ265,public,Mobile Coastal,AL
ALZ266,public,Baldwin Coastal,AL
ARZ001,public,Benton,AR
ARZ002,public,Carroll,AR
ARZ004,public,Marion,AR
ARZ005,public,Baxter,AR
ARZ006,public,Fulton,AR
ARZ007,public,Sharp,AR
ARZ008,public,Randolph,AR
ARZ009,public,Clay,AR
ARZ010,public,Washington,AR
ARZ011,public,Madison,AR
ARZ014,public,Stone,AR
ARZ015,public,Izard,AR
ARZ016,public,Independence,AR
ARZ017,public,Lawrence,AR
ARZ018,public,Greene,AR
ARZ019,public,Crawford,AR
ARZ020,public,Franklin,AR
ARZ024,public,Cleburne,AR
ARZ025,public,Jackson,AR
